"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USW00094741","TETERBORO AIRPORT, NJ US","1994-05","27","37","90","5657","58.7","69.7","47.8"
"USW00094741","TETERBORO AIRPORT, NJ US","1994-06","261","49","94","5662","72.6","83.1","62.1"
"USW00094741","TETERBORO AIRPORT, NJ US","1994-07","648","60","96","0","77.5","87.0","67.9"
"USW00094741","TETERBORO AIRPORT, NJ US","1994-08","840","50","90","3","71.1","81.3","60.9"
"USW00094741","TETERBORO AIRPORT, NJ US","1994-09","890","43","87","82","64.0","73.8","54.3"
"USW00094741","TETERBORO AIRPORT, NJ US","1994-10","890","32","74","464","52.7","64.3","41.1"
"USW00094741","TETERBORO AIRPORT, NJ US","1994-11","890","23","74","959","48.5","57.7","39.2"
"USW00094741","TETERBORO AIRPORT, NJ US","1994-12","890","17","63","1757","39.3","48.0","30.5"
"USW00094741","TETERBORO AIRPORT, NJ US","1995-01","0","13","63","2654","36.1","42.3","29.8"
"USW00094741","TETERBORO AIRPORT, NJ US","1995-02","0","4","55","3647","29.5","37.9","21.1"
"USW00094741","TETERBORO AIRPORT, NJ US","1995-03","0","21","73","4297","44.1","52.6","35.5"
"USW00094741","TETERBORO AIRPORT, NJ US","1995-04","0","23","79","4752","49.8","59.7","39.9"
"USW00094741","TETERBORO AIRPORT, NJ US","1995-05","17","37","88","4962","58.8","69.0","48.6"
"USW00094741","TETERBORO AIRPORT, NJ US","1995-06","154","50","94","4965","69.5","79.4","59.6"
"USW00094741","TETERBORO AIRPORT, NJ US","1995-07","515","53","102","0","76.6","86.3","67.0"
"USW00094741","TETERBORO AIRPORT, NJ US","1995-08","825","54","96","0","75.0","86.1","63.9"
"USW00094741","TETERBORO AIRPORT, NJ US","1995-09","902","46","88","77","65.0","74.4","55.6"
"USW00094741","TETERBORO AIRPORT, NJ US","1995-10","918","37","84","302","58.2","69.4","47.1"
"USW00094741","TETERBORO AIRPORT, NJ US","1995-11","918","22","70","1025","40.9","49.5","32.3"
"USW00094741","TETERBORO AIRPORT, NJ US","1995-12","918","10","54","2088","30.7","37.3","24.1"
"USW00094741","TETERBORO AIRPORT, NJ US","1996-01","0","1","58","3210","28.8","36.2","21.4"
"USW00094741","TETERBORO AIRPORT, NJ US","1996-02","0","-2","62","4149","32.6","40.1","25.1"
"USW00094741","TETERBORO AIRPORT, NJ US","1996-03","0","12","63","4990","37.9","46.6","29.1"
"USW00094741","TETERBORO AIRPORT, NJ US","1996-04","6","28","84","5419","50.9","59.9","42.0"
"USW00094741","TETERBORO AIRPORT, NJ US","1996-05","59","32","96","5660","58.9","68.7","49.2"
"USW00094741","TETERBORO AIRPORT, NJ US","1996-06","247","48","88","5676","70.7","79.2","62.2"
